WATERSHED,AVG_ANNUAL_RUNOFF_APEX_FAN
Whiteman,175
Coldstream,125
Equesis,138
Inkaneep,65
McDougall,73
McLean,81
Mill,98
Mission,245
Naramata,119
Naswhito,144
Penticton,202
Powers,127
Shingle,59
Shuttleworth,166
Trepanier,143
Trout,86
Vaseux,155
Vernon,117
Shorts,180
