WATERSHED,AVG_ANNUAL_RUNOFF_APEX_FAN
Whiteman,170
Coldstream,115
Equesis,109
Inkaneep,64
McDougall,78
McLean,83
Mill,105
Mission,255
Naramata,118
Naswhito,132
Penticton,203
Powers,140
Shingle,68
Shuttleworth,153
Trepanier,156
Trout,192
Vaseux,138
Vernon,100
Shorts,171
